ID,Sex,Occasion1,Occasion2,Occasion3,Occasion4,Occasion5,Occasion6,Occasion7
273,Female,1,0,0,0,0,0,0
274,Female,1,0,0,0,0,0,0
275,Female,1,0,0,0,0,0,0
276,Female,1,0,0,0,0,0,0
277,Male,1,0,0,0,0,0,0
278,Male,1,0,0,0,0,0,0
279,Male,1,0,0,0,0,0,0
280,Male,1,0,0,0,0,0,0
281,Male,1,0,0,0,0,0,0
282,Female,1,0,1,0,0,0,0
283,Male,1,0,1,0,0,0,0
284,Female,1,1,0,0,0,0,0
285,Female,1,1,0,0,0,0,0
286,Male,1,1,0,0,0,0,0
287,Male,1,1,0,0,0,0,0
288,Male,1,1,0,0,0,0,0
289,Male,1,1,0,0,0,0,0
290,Female,1,1,0,1,1,1,0
291,Female,1,1,1,1,0,0,0
292,Male,1,1,1,1,0,0,0
293,Female,1,1,1,1,1,0,0
294,Male,1,1,1,1,1,1,0
